from,to1,to2
Software,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Qualidade de software,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Software livre,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Software proprietário,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Tecnologia de segurança de dados e informação,Pesquisa e Desenvolvimento,Pesquisa e Desenvolvimento
Comunicação,Comunicações,Comunicações
Serviços postais,Comunicações,Comunicações
Telecomunicações,Comunicações,Comunicações
Certificação de produto de telecomunicações,Comunicações,Comunicações
Comunicação móvel,Comunicações,Comunicações
Móvel aeronáutico,Comunicações,Comunicações
Móvel celular,Comunicações,Comunicações
Móvel especial de radiochamada,Comunicações,Comunicações
Móvel especializado,Comunicações,Comunicações
Móvel marítimo,Comunicações,Comunicações
Serviço móvel por satélite,Comunicações,Comunicações
Comunicação multimídia,Comunicações,Comunicações
Teleconferência,Comunicações,Comunicações
Exploração de satélite,Comunicações,Comunicações
Radioamador,Comunicações,Comunicações
Radiodifusão,Comunicações,Comunicações
Telefonia fixa,Comunicações,Comunicações
Televisão,Comunicações,Comunicações
Televisão digital,Comunicações,Comunicações
Televisão terrestre,Comunicações,Comunicações
TV a Cabo,Comunicações,Comunicações
TV via satélite,Comunicações,Comunicações
Web TV,Comunicações,Comunicações
Veículos de comunicação,Comunicações,Comunicações
Imprensa,Comunicações,Comunicações
Rádio,Comunicações,Comunicações
Televisão,Comunicações,Comunicações
Televisão digital,Comunicações,Comunicações
Televisão terrestre,Comunicações,Comunicações
TV a Cabo,Comunicações,Comunicações
TV via satélite,Comunicações,Comunicações
Web TV,Comunicações,Comunicações
"Informação - Gestão, preservação e acesso",Comunicações,Comunicações
Arquivos,Comunicações,Comunicações
Bibliotecas,Comunicações,Comunicações
Centrais de atendimento,Comunicações,Comunicações
Centro de documentação,Comunicações,Comunicações
Informações estatísticas,Comunicações,Comunicações
Museus,Comunicações,Comunicações
Preservação de dados e informações,Comunicações,Comunicações
Publicações oficiais,Comunicações,Comunicações
Segurança de dados e informações,Comunicações,Comunicações
Classificação da informação,Comunicações,Comunicações
Privacidade da informação,Comunicações,Comunicações
"Comércio, Serviços e Turismo",Comércio e Serviços,Comércio e Serviços
Comércio e Serviços,Comércio e Serviços,Comércio e Serviços
Comércio eletrônico,Comércio e Serviços,Comércio e Serviços
Comércio exterior,Comércio e Serviços,Comércio e Serviços
Barreiras externas,Comércio e Serviços,Comércio e Serviços
Exportação,Comércio e Serviços,Comércio e Serviços
Crédito e financiamento de exportação,Comércio e Serviços,Comércio e Serviços
Exportação de serviços,Comércio e Serviços,Comércio e Serviços
Logística e transporte de exportação,Comércio e Serviços,Comércio e Serviços
Importação,Comércio e Serviços,Comércio e Serviços
Importação de serviços,Comércio e Serviços,Comércio e Serviços
Negociação internacional,Comércio e Serviços,Comércio e Serviços
Empresas,Comércio e Serviços,Comércio e Serviços
Comércio,Comércio e Serviços,Comércio e Serviços
Serviços,Comércio e Serviços,Comércio e Serviços
Entidades representativas do comércio e serviços,Comércio e Serviços,Comércio e Serviços
Indicadores e estatísticas em comércio e serviços,Comércio e Serviços,Comércio e Serviços
Política de incentivo de comércio e serviços,Comércio e Serviços,Comércio e Serviços
Promoção comercial,Comércio e Serviços,Comércio e Serviços
Exposição,Comércio e Serviços,Comércio e Serviços
Feira,Comércio e Serviços,Comércio e Serviços
Registro comercial,Comércio e Serviços,Comércio e Serviços
Regulamentação comercial,Comércio e Serviços,Comércio e Serviços
Turismo,Comércio e Serviços/Turismo,Turismo
Conselhos e câmaras temáticas de turismo,Comércio e Serviços/Turismo,Turismo
Incentivos e promoções do turismo,Comércio e Serviços/Turismo,Turismo
Informações sobre o país,Comércio e Serviços/Turismo,Turismo
Clima,Comércio e Serviços/Turismo,Turismo
Feriados,Comércio e Serviços/Turismo,Turismo
Moeda,Comércio e Serviços/Turismo,Turismo
Regiões e estados,Comércio e Serviços/Turismo,Turismo
Infraestrutura de turismo,Comércio e Serviços/Turismo,Turismo
Aeroportos,Comércio e Serviços/Turismo,Turismo
Agências de viagens,Comércio e Serviços/Turismo,Turismo
Estradas,Comércio e Serviços/Turismo,Turismo
Hospedagem,Comércio e Serviços/Turismo,Turismo
Portos,Comércio e Serviços/Turismo,Turismo
Restaurantes,Comércio e Serviços/Turismo,Turismo
Rodoviárias,Comércio e Serviços/Turismo,Turismo
Roteiros e atrações turísticas,Comércio e Serviços/Turismo,Turismo
Turismo internacional,Comércio e Serviços/Turismo,Turismo
Câmbio,Comércio e Serviços/Turismo,Turismo
Consulados e embaixadas,Comércio e Serviços/Turismo,Turismo
Documentos e vistos,Comércio e Serviços/Turismo,Turismo
Saúde e seguro,Comércio e Serviços/Turismo,Turismo
Turismo temático,Comércio e Serviços/Turismo,Turismo
Ecoturismo,Comércio e Serviços/Turismo,Turismo
Eventos e negócios,Comércio e Serviços/Turismo,Turismo
Turismo cultural,Comércio e Serviços/Turismo,Turismo
Turismo de aventura,Comércio e Serviços/Turismo,Turismo
Turismo gastronômico,Comércio e Serviços/Turismo,Turismo
Turismo religioso,Comércio e Serviços/Turismo,Turismo
Turismo rural,Comércio e Serviços/Turismo,Turismo
Vacinação do viajante,Comércio e Serviços/Turismo,Turismo
Certificado Internacional de Vacinação e Profilaxia (CIVP),Comércio e Serviços/Turismo,Turismo
"Cultura, Lazer e Esporte","Cultura, Esporte e Lazer",
Cultura,Cultura,Cultura
Artes cênicas,Cultura,Cultura
Circo,Cultura,Cultura
Dança,Cultura,Cultura
Ópera,Cultura,Cultura
Teatro,Cultura,Cultura
Artes visuais,Cultura,Cultura
Artes gráficas,Cultura,Cultura
Desenho,Cultura,Cultura
Escultura,Cultura,Cultura
Fotografia,Cultura,Cultura
Gravura,Cultura,Cultura
Pintura,Cultura,Cultura
Audiovisual,Cultura,Cultura
Fiscalização (audiovisual),Cultura,Cultura
Fomento (audiovisual),Cultura,Cultura
Obra audiovisual,Cultura,Cultura
Animação,Cultura,Cultura
Curta metragem,Cultura,Cultura
Documentário,Cultura,Cultura
Longa metragem,Cultura,Cultura
Média metragem,Cultura,Cultura
Minissérie,Cultura,Cultura
Novela,Cultura,Cultura
Obra audiovisual publicitária,Cultura,Cultura
Produtor de obra audiovisual,Cultura,Cultura
Produtora de obra audiovisual,Cultura,Cultura
Programadora (audiovisual),Cultura,Cultura
Sala de exibição,Cultura,Cultura
Culturas étnicas,Cultura,Cultura
Afro-brasileiro,Cultura,Cultura
Imigrantes,Cultura,Cultura
Indígena,Cultura,Cultura
Folclore e cultura popular,Cultura,Cultura
Legislação (cultura),Cultura,Cultura
Certificado de Produto Brasileiro (CPB),Cultura,Cultura
Combate à pirataria,Cultura,Cultura
Direito autoral,Cultura,Cultura
Registro de obra audiovisual,Cultura,Cultura
Literatura,Cultura,Cultura
Música,Cultura,Cultura
"Patrimônio histórico, artístico e arqueológico",Cultura,Cultura
Política cultural,Cultura,Cultura
Esporte,Esporte e Lazer,Esporte e Lazer
Esporte comunitário,Esporte e Lazer,Esporte e Lazer
Esporte de rendimento,Esporte e Lazer,Esporte e Lazer
Lazer,Esporte e Lazer/Lazer,Lazer
Jogos e loterias,Esporte e Lazer/Lazer,Lazer
Parques e jardins,Esporte e Lazer/Lazer,Lazer
Recreação,Esporte e Lazer/Lazer,Lazer
Defesa e Segurança,"Segurança e Ordem Pública, Defesa Nacional",
Defesa Nacional,Defesa Nacional,Defesa Nacional
Aeronáutica,Defesa Nacional,Defesa Nacional
Exército,Defesa Nacional,Defesa Nacional
Marinha,Defesa Nacional,Defesa Nacional
Serviço militar,Defesa Nacional,Defesa Nacional
Segurança Nacional,Defesa Nacional,Defesa Nacional
Segurança pública,Segurança e Ordem Pública,Segurança e Ordem Pública
Ações e política de prevenção e repressão ao crime,Segurança e Ordem Pública,Segurança e Ordem Pública
Corpo de bombeiros,Segurança e Ordem Pública,Segurança e Ordem Pública
Defesa civil,Segurança e Ordem Pública,Segurança e Ordem Pública
Formação de recursos humanos em segurança publica,Segurança e Ordem Pública,Segurança e Ordem Pública
Identificação criminal,Segurança e Ordem Pública,Segurança e Ordem Pública
Medicina legal,Segurança e Ordem Pública,Segurança e Ordem Pública
Modernização e aparelhamento dos órgãos de segurança pública,Segurança e Ordem Pública,Segurança e Ordem Pública
Perícia técnica,Segurança e Ordem Pública,Segurança e Ordem Pública
Polícia,Segurança e Ordem Pública,Segurança e Ordem Pública
Polícia civil,Segurança e Ordem Pública,Segurança e Ordem Pública
Polícia federal,Segurança e Ordem Pública,Segurança e Ordem Pública
Polícia militar,Segurança e Ordem Pública,Segurança e Ordem Pública
Polícia municipal,Segurança e Ordem Pública,Segurança e Ordem Pública
Polícia rodoviária,Segurança e Ordem Pública,Segurança e Ordem Pública
Porte de arma,Segurança e Ordem Pública,Segurança e Ordem Pública
Serviço de Inteligência,Segurança e Ordem Pública/Policiamento,Policiamento
Economia e Finanças,Economia e Finanças,Economia e Finanças
Administração financeira,Economia e Finanças,Economia e Finanças
Administração de concessões,Economia e Finanças,Economia e Finanças
Administração de despesas,Economia e Finanças,Economia e Finanças
Administração de receitas,Economia e Finanças,Economia e Finanças
Economia,Economia e Finanças,Economia e Finanças
Defesa econômica e da concorrência,Economia e Finanças,Economia e Finanças
Política econômica,Economia e Finanças,Economia e Finanças
Desenvolvimento econômico,Economia e Finanças,Economia e Finanças
Monopólios e fusões,Economia e Finanças,Economia e Finanças
Nacionalização/privatização,Economia e Finanças,Economia e Finanças
Encargos financeiros,Economia e Finanças,Economia e Finanças
Divida externa,Economia e Finanças,Economia e Finanças
Refinanciamento da divida externa,Economia e Finanças,Economia e Finanças
Serviço da dívida externa,Economia e Finanças,Economia e Finanças
Divida interna,Economia e Finanças,Economia e Finanças
Precatórios,Economia e Finanças,Economia e Finanças
Refinanciamento da divida interna,Economia e Finanças,Economia e Finanças
Serviço da divida interna,Economia e Finanças,Economia e Finanças
Encargos financeiros especiais,Economia e Finanças,Economia e Finanças
Transferências financeiras,Economia e Finanças,Economia e Finanças
Finanças,Economia e Finanças,Economia e Finanças
Finanças pessoais,Economia e Finanças,Economia e Finanças
Finanças públicas,Economia e Finanças,Economia e Finanças
Tributo,Economia e Finanças,Economia e Finanças
Contribuição,Economia e Finanças,Economia e Finanças
Imposto,Economia e Finanças,Economia e Finanças
Taxa,Economia e Finanças,Economia e Finanças
Financiamento publico e privado,Economia e Finanças,Economia e Finanças
Investimento,Economia e Finanças,Economia e Finanças
Sistema financeiro,Economia e Finanças,Economia e Finanças
Bancos,Economia e Finanças,Economia e Finanças
Mercado de capitais,Economia e Finanças,Economia e Finanças
Moedas e cambio,Economia e Finanças,Economia e Finanças
Seguros,Economia e Finanças,Economia e Finanças
Sistema de pagamentos brasileiro,Economia e Finanças,Economia e Finanças
Educação,Educação,Educação
Assistência ao estudante,Educação,Educação
Financiamento estudantil,Educação,Educação
Material didático,Educação,Educação
Merenda escolar,Educação,Educação
Transporte escolar,Educação,Educação
Educação à distância,Educação,Educação
Educação ambiental,Educação,Educação
Educação básica,Educação /Educação básica,Educação básica
Educação infantil,Educação /Educação básica,Educação básica
Creche,Educação /Educação básica,Educação básica
Pré-escola,Educação /Educação básica,Educação básica
Ensino fundamental,Educação /Educação básica,Educação básica
Ensino fundamental de 8 anos,Educação /Educação básica,Educação básica
Ensino fundamental de 9 anos,Educação /Educação básica,Educação básica
Primeiro ciclo,Educação /Educação básica,Educação básica
Segundo ciclo,Educação /Educação básica,Educação básica
Ensino médio,Educação /Educação básica,Educação básica
Educação de jovens e adultos,Educação,Educação
Alfabetização de jovens e adultos,Educação,Educação
Educação continuada,Educação,Educação
Supletivo,Educação,Educação
Educação do campo,Educação,Educação
Educação indígena,Educação,Educação
Educação para quilombolas,Educação,Educação
Educação profissional e tecnológica,Educação /Educação profissionalizante,Educação profissionalizante
Educação profissional técnica de nível médio,Educação /Educação profissionalizante,Educação profissionalizante
Educação profissional tecnológica de graduação e pós-graduação,Educação /Educação profissionalizante,Educação profissionalizante
Formação inicial e continuada de trabalhadores,Educação /Educação profissionalizante,Educação profissionalizante
Educação superior,Educação /Educação superior,Educação superior
Curso seqüencial,Educação /Educação superior,Educação superior
Complementação de estudos,Educação /Educação superior,Educação superior
Formação cientifica,Educação /Educação superior,Educação superior
Diploma educação superior,Educação /Educação superior,Educação superior
Revalidação diploma curso superior,Educação /Educação superior,Educação superior
Validade diploma educação superior,Educação /Educação superior,Educação superior
Fomento a pós-graduação,Educação /Educação superior,Educação superior
Acesso e divulgação da produção cientifica,Educação /Educação superior,Educação superior
Agência de fomento a pós-graduação,Educação /Educação superior,Educação superior
Apoio técnico a pesquisa e iniciação cientifica,Educação /Educação superior,Educação superior
Auxilio a pesquisa,Educação /Educação superior,Educação superior
Bolsa de estudos pós-graduação,Educação /Educação superior,Educação superior
Cooperação acadêmica,Educação /Educação superior,Educação superior
Cooperação cientifica internacional,Educação /Educação superior,Educação superior
Fundação de apoio - pós-graduação,Educação /Educação superior,Educação superior
Graduação,Educação /Educação superior,Educação superior
Bacharelado,Educação /Educação superior,Educação superior
Licenciatura,Educação /Educação superior,Educação superior
Curso normal superior,Educação /Educação superior,Educação superior
Licenciatura plena,Educação /Educação superior,Educação superior
Ingresso no ensino superior,Educação /Educação superior,Educação superior
Certificado de proficiência em língua portuguesa para estrangeiro,Educação /Educação superior,Educação superior
Transferência,Educação /Educação superior,Educação superior
Facultativa,Educação /Educação superior,Educação superior
Por amparo legal,Educação /Educação superior,Educação superior
Vestibular,Educação /Educação superior,Educação superior
Sistema de reserva de vagas,Educação /Educação superior,Educação superior
Instituições federais de ensino superior,Educação /Educação superior,Educação superior
Autorização de cursos,Educação /Educação superior,Educação superior
Credenciamento de cursos,Educação /Educação superior,Educação superior
Reconhecimento de cursos,Educação /Educação superior,Educação superior
Pós-graduação,Educação /Educação superior,Educação superior
Latu sensu,Educação /Educação superior,Educação superior
Especialização,Educação /Educação superior,Educação superior
Master business administration,Educação /Educação superior,Educação superior
Residência medica,Educação /Educação superior,Educação superior
Hospitais universitários,Educação /Educação superior,Educação superior
Stricto sensu,Educação /Educação superior,Educação superior
Doutorado,Educação /Educação superior,Educação superior
Mestrado,Educação /Educação superior,Educação superior
Mestrado acadêmico,Educação /Educação superior,Educação superior
Mestrado profissional,Educação /Educação superior,Educação superior
Tecnólogo,Educação /Educação superior,Educação superior
Financiamento da educação,Educação,Educação
Gestão escolar,Educação,Educação
Projeto curricular,Educação,Educação
Projeto pedagógico,Educação,Educação
Legislação educacional,Educação,Educação
Conselho nacional de educação,Educação,Educação
Pareceres,Educação,Educação
Resoluções,Educação,Educação
Leis de diretrizes e bases da educação nacional,Educação,Educação
Plano nacional de educação,Educação,Educação
Métodos e meios de ensino e aprendizagem,Educação,Educação
Meios de ensino-aprendizagem,Educação,Educação
Livro didático,Educação,Educação
Tecnologia educacional,Educação,Educação
Métodos de aprendizagem,Educação,Educação
Métodos de ensino,Educação,Educação
Parâmetros e diretrizes curriculares nacionais,Educação,Educação
Profissionais da educação,Educação,Educação
Apoio escolar,Educação,Educação
Alimentação escolar,Educação,Educação
Infraestrutura material e ambiental,Educação,Educação
Multimeios didáticos,Educação,Educação
Secretaria escolar,Educação,Educação
Magistério,Educação,Educação
Especialista em educação,Educação,Educação
Professor,Educação,Educação
Sistema educacional - Avaliação,Educação,Educação
Estatísticas educacionais,Educação,Educação
Indicadores educacionais,Educação,Educação
Governo e Política,Administração,Administração
Administração pública,Administração,Administração
Atendimento ao cidadão,Administração/Serviços Públicos,Serviços Públicos
Protocolo,Administração/Serviços Públicos,Serviços Públicos
Compras governamentais,Administração/Compras governamentais,Compras governamentais
Licitação,Administração/Compras governamentais,Compras governamentais
Pregão,Administração/Compras governamentais,Compras governamentais
Controle social e prestação de contas,Administração/Fiscalização do Estado,Fiscalização do Estado
Consulta publica,Administração/Fiscalização do Estado,Fiscalização do Estado
Indicadores,Administração/Fiscalização do Estado,Fiscalização do Estado
Orçamento participativo,Administração/Fiscalização do Estado,Fiscalização do Estado
Prestação de contas,Administração/Fiscalização do Estado,Fiscalização do Estado
Ética publica,Administração,Administração
Código de conduta,Administração,Administração
Procedimento administrativo disciplinar,Administração,Administração
Regime de quarentena,Administração,Administração
Legislação e normas,Administração,Administração
Patrimônio da união,Administração/Patrimônio,Patrimônio
Planejamento e orçamento,Administração/Planejamento,Planejamento
Orçamento do estado,Administração/Planejamento,Planejamento
Execução orçamentária e financeira,Administração/Planejamento,Planejamento
Realização orçamentária e financeira,Administração/Planejamento,Planejamento
Planejamento estratégico,Administração/Planejamento,Planejamento
Plano plurianual,Administração/Planejamento,Planejamento
Recursos humanos,Administração/Recursos humanos,Recursos humanos
Capacitação,Administração/Recursos humanos,Recursos humanos
Concursos,Administração/Recursos humanos,Recursos humanos
Estagio,Administração/Recursos humanos,Recursos humanos
Remuneração,Administração/Recursos humanos,Recursos humanos
Contracheque,Administração/Recursos humanos,Recursos humanos
Recursos logísticos,Administração,Administração
Alienação de bens,Administração,Administração
Obras,Administração,Administração
Fiscalização do estado,Administração/Fiscalização do Estado,Fiscalização do Estado
Governo eletrônico,Administração/Serviços Públicos,Serviços Públicos
Governo móvel,Administração/Serviços Públicos,Serviços Públicos
Organização do estado,Administração,Administração
Governo estadual,Administração,Administração
Governo federal,Administração,Administração
Governo municipal,Administração,Administração
Ministério público,Administração,Administração
Organização territorial,Administração,Administração
Poderes do estado,Administração,Administração
Poder executivo,Administração,Administração
Poder judiciário,Administração,Administração
Poder legislativo,Administração,Administração
Política,Administração,Administração
Ética política,Administração,Administração
Organização política,Administração,Administração
Partidos políticos,Administração,Administração
Regime político,Administração,Administração
Sistema eleitoral,Administração,Administração
Sistema político,Administração,Administração
"Habitação, Saneamento e Urbanismo","Habitação, Saneamento",
Habitação,Habitação,Habitação
Casa própria,Habitação,Habitação
Financiamento habitacional,Habitação,Habitação
Seguro habitacional,Habitação,Habitação
Transferência de imóvel,Habitação,Habitação
Planejamento urbano,Urbanismo,Urbanismo
Ocupação e uso do solo,Urbanismo,Urbanismo
Saneamento urbano,Saneamento/Saneamento Básico Urbano,Saneamento Básico Urbano
Gestão da água,Saneamento/Saneamento Básico Urbano,Saneamento Básico Urbano
Drenagem pluvial,Saneamento/Saneamento Básico Urbano,Saneamento Básico Urbano
Tratamento de água,Saneamento/Saneamento Básico Urbano,Saneamento Básico Urbano
Tratamento de esgoto,Saneamento/Saneamento Básico Urbano,Saneamento Básico Urbano
Gestão de resíduos sólidos,Meio ambiente/Preservação e Conservação Ambiental,Preservação e Conservação Ambiental
